TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
T	4450	4779					6580	0
T	4799	5144					6590	0
T	5214	5369					6600	0
T	5395	5632					6610	0
T	5674	5933					6620	0
T	5956	6476					6630	0
T	6500	6871					6640	1
T	6901	7162					6650	0
T	7181	7537					6660	0
O	7592	7828					6670	0
O	7860	8005					6680	0
O	8025	8106					6690	0
O	7	108					6700	0
O	285	360					6710	0
T	397	667					6720	0
T	692	1061					6730	0
T	1084	1287					6740	0
T	1344	1745					6750	0
T	1767	2212					6760	0
T	2230	2696					6770	0
T	2751	2976					6780	0
T	2996	3252					6790	0
T	3272	3734					6800	0
T	3800	3944					6810	0
T	3960	4174					6820	0
O	4201	4479					6830	0
O	5117	5490					6840	0
T	5515	5758					6850	0
T	5783	6064					6860	0
O	6361	6679					6870	0
O	6730	6892					6880	1
O	7117	7183					6890	0
O	7224	7447					6900	0
O	7483	7654					6910	0
O	7674	7802					6920	0
O	7862	8095					6930	0
T	7	152					6940	0
T	457	642					6950	0
T	667	948					6960	0
T	968	1120					6970	0
T	1157	1317					6980	0
T	1343	1543					6990	0
T	1597	1929					7000	0
T	1954	2145					7010	0
T	2175	2414					7020	0
O	2452	2696					7030	0
T	2733	2958					7040	0
T	2976	3327					7050	0
O	3398	3644					7060	0
O	3668	3912					7070	0
O	3967	4371					7080	0
T	4409	4590					7090	0
T	4668	4796					7100	0
T	4821	5129					7110	0
T	5144	5788					7120	0
T	5818	5944					7130	0
O	6043	6218					7140	0
T	6268	6420					7150	0
T	6443	6820					7160	0
O	7211	7386					7170	0
T	7429	7755					7180	0
T	7775	8006					7190	0
O	8049	8101					7200	0
T	7	206					7210	0
T	250	386					7220	0
T	412	606					7230	0
T	633	734					7240	0
T	788	942					7250	0
T	965	1281					7260	0
T	1326	1504					7270	0
T	1527	1776					7280	0
T	1816	2187					7290	0
O	2247	2363					7300	0
T	2390	2752					7310	0
T	2777	3017					7320	0
T	3069	3237					7330	0
T	3265	3475					7340	0
T	3490	3910					7350	0
T	4260	4435					7360	0
T	4461	4800					7370	0
T	4830	5052					7380	0
O	5104	5446					7390	0
O	5470	5696					7400	0
T	5748	6015					7410	0
T	6041	6185					7420	0
O	6647	6863					7430	0
O	6893	6983					7440	0
T	7229	7324					7450	0
T	7358	7683					7460	1
T	7711	8050					7470	0
O	7	37					7480	0
O	226	344					7490	0
T	391	619					7500	0
T	644	905					7510	0
T	928	1120					7520	0
T	1146	1493					7530	0
T	1520	1838					7540	0
T	1863	2046					7550	0
T	2067	2321					7560	0
T	2373	2587					7570	0
T	2612	3305					7580	0
T	3314	3749					7590	0
T	3771	4221					7600	0
T	4283	4666					7610	0
T	4678	4872					7620	0
T	5143	5475					7630	0
T	5482	5669					7640	0
T	5692	5808					7650	0
T	5989	6076					7660	0
T	6099	6437					7670	0
T	6462	6701					7680	0
T	6744	6920					7690	0
T	6938	7303					7700	0
O	7385	7549					7710	0
O	7577	7780					7720	1
O	7792	7938					7730	0
O	7994	8102					7740	0
T	7	285					7750	0
T	321	464					7760	0
T	492	621					7770	0
T	648	832					7780	0
T	856	1068					7790	0
T	1077	1294					7800	0
T	1314	1805					7810	0
T	1828	2212					7820	0
T	2421	2611					7830	0
T	2634	2992					7840	0
T	3019	3863					7850	0
T	4824	4976					7860	0
O	5297	5445					7870	0
T	5487	5598					7880	0
O	5646	6017					7890	0
O	6041	6352					7900	0
O	6381	6959					7910	0
O	6986	7516					7920	0
O	7559	7863					7930	0
T	7931	8095					7940	1
T	7	254					7950	0
T	291	448					7960	0
T	475	645					7970	0
T	671	888					7980	0
T	915	1181					7990	0
T	1199	1739					8000	0
T	1763	2027					8010	0
T	2049	2210					8020	0
T	2232	2459					8030	0
T	2487	2913					8040	0
O	2956	3266					8050	0
O	3282	3474					8060	0
T	3533	3719					8070	0
T	3745	3991					8080	0
T	4013	4300					8090	0
T	4333	4696					8100	0
T	4721	5097						
T	5123	5486						
O	5528	5702						
O	5716	5846						
O	5877	6053						
O	6069	6209						
O	6243	6640						
O	6678	6850						
O	6872	7067						
O	7105	7335						
O	7433	7898						
T	7941	8093						
O	7	300						
O	326	496						
T	547	785						
T	799	1265						
T	1291	1551						
O	1607	1781						
O	1820	2009						
O	2049	2184						
T	2229	2491						
T	2516	3045						
O	3073	3484						
O	3529	3901						
O	3931	4081						
O	4107	4781						
O	4853	5215						
O	5266	5461						
O	5479	5853						
O	5907	6195						
O	6220	6404						
O	6462	6836						
O	6873	7036						
O	7078	7561						
O	7924	8089						
O	7	229						
T	274	421						
T	448	704						
O	729	1354						
T	1385	1653						
T	1683	1950						
T	1992	2940						
O	3176	3285						
T	3316	3596						
T	3617	3775						
O	3799	4202						
T	4231	4689						
T	4709	4854						
T	4919	5125						
T	5150	5477						
T	5505	5734						
T	5755	5939						
O	5999	6252						
O	6279	6639						
O	7034	7275						
O	7318	7613						
O	7640	8097						
T	7	318						
T	368	480						
T	537	1181						
T	1210	1689						
T	1755	1957						
T	1981	2292						
T	2318	2891						
T	2917	3172						
T	3199	3372						
T	3395	3686						
T	3715	3993						
O	4053	4187						
O	4212	4561						
O	4577	4838						
O	4902	5135						
T	5177	5377						
T	5396	5650						
T	5672	5960						
O	6002	6208						
O	6239	6458						
O	6507	6737						
O	6767	7205						
O	7259	7435						
O	7480	7702						
O	7719	7899						
O	7927	8104						
O	7	199						
T	289	406						
O	435	576						
T	605	782						
T	808	1257						
O	1297	1632						
T	1693	2253						
T	2267	2458						
T	2488	3008						
T	3021	3333						
T	3353	3515						
O	3560	3775						
O	3806	3954						
O	3985	4192						
O	4213	4504						
O	4558	4804						
O	4830	5037						
O	5556	5849						
O	5906	6096						
O	6592	6843						
O	6887	7109						
O	7164	7800						
O	7852	8095						
O	7	142						
T	530	615						
T	650	843						
T	1098	1151						
T	1174	1226						
T	1243	1434						
T	1455	1657						
T	1686	1836						
T	1869	2100						
O	2128	2359						
T	2379	2597						
T	2624	2915						
T	2947	3204						
O	3375	3405						
O	3522	3573						
O	3582	3632						
O	3739	4020						
O	4068	4343						
O	4398	4700						
O	4737	4799						
O	4844	5048						
O	5066	5497						
O	5527	5775						
O	5858	6011						
O	6309	6490						
O	6568	6601						
O	6831	6899						
O	6999	7061						
O	7099	7218						
O	7235	7356						
O	7411	7630						
O	7712	7959						
O	8004	8089						
T	7	192						
T	420	584						
T	622	868						
T	891	1258						
T	1304	1461						
T	1485	1810						
T	1866	2557						
T	2640	2954						
T	2978	3220						
T	3243	3626						
T	3690	4044						
O	4178	4272						
O	4313	4395						
O	4421	4673						
O	4702	4848						
O	4872	5024						
O	5038	5193						
O	5249	5495						
O	5540	5685						
T	5759	5839						
T	6060	6227						
T	6276	6448						
T	6465	6671						
T	6721	6801						
O	6882	7309						
T	7347	7720						
O	7	200						
T	251	400						
T	427	606						
T	624	962						
T	974	1135						
T	1179	1440						
T	1456	1726						
T	1752	1944						
T	1961	2168						
T	2181	2528						
T	2563	2931						
T	2969	3237						
O	3269	3569						
T	3624	3832						
T	3851	3993						
T	4020	4285						
T	4299	4657						
T	4697	5022						
T	5033	5698						
T	5727	6060						
T	6075	6168						
T	6439	6549						
T	6573	6699						
T	6759	6939						
T	6961	7107						
T	7132	7488						
T	7518	7797						
T	7816	8097						
T	441	594						
T	797	1031						
T	1059	1335						
T	1388	1569						
T	1588	1781						
O	1828	2135						
O	2182	2398						
T	2448	2659						
T	2715	2881						
T	3425	3902						
T	3927	4112						
T	4888	5188						
T	5203	6093						
T	6105	6407						
T	6447	6661						
T	6683	6911						
T	6927	7213						
T	7252	7611						
O	7	386						
O	421	650						
T	693	878						
T	924	1063						
T	1250	1422						
T	1437	1635						
T	1645	1798						
O	1846	2078						
O	2121	2292						
O	3864	4051						
O	4617	4884						
O	4900	5036						
O	5083	5377						
O	5395	5562						
